input_value,feature,score,score_std,intercept
more than 30,Days_Policy_Accident,0.017476724494215327,0.005557146299482941,-1.0523352210924692
none,Days_Policy_Accident,0.6538010627898947,0.2189485546165484,-1.0523352210924692
15 to 30,Days_Policy_Claim,-0.34293081654576196,0.8729523418805734,-1.0523352210924692
8 to 15,Days_Policy_Claim,0.6210386158032073,0.4083524933276585,-1.0523352210924692
more than 30,Days_Policy_Claim,-5.6472770428508287e-05,0.003340326131838281,-1.0523352210924692
No,PoliceReportFiled,0.03241463364423495,0.004801047422799114,-1.0523352210924692
Yes,PoliceReportFiled,-0.9969789014644921,0.1476661139532112,-1.0523352210924692
No,WitnessPresent,0.005669297613765911,0.0009690455679275635,-1.0523352210924692
Yes,WitnessPresent,-0.8556042668991577,0.14624730949479753,-1.0523352210924692
change,AddressChange_Claim_2,-0.04283030060159676,0.159092983093441,-1.0523352210924692
no_change,AddressChange_Claim_2,0.00330789788088223,0.012287173665514893,-1.0523352210924692
